offer_id,date,date_iso,price,price_clean,change,change_clean,is_increase
313233516,11 мар 2025,2025-03-11 00:00:00,92 000 ₽/мес.,92000,6 000 ₽,-6000,False
313233516,9 мар 2025,2025-03-09 00:00:00,98 000 ₽/мес.,98000,3 000 ₽,+3000,True
313233516,27 фев 2025,2025-02-27 00:00:00,95 000 ₽/мес.,95000,3 000 ₽,-3000,False
313233516,4 фев 2025,2025-02-04 00:00:00,98 000 ₽/мес.,98000,,,False
313202144,27 мар 2025,2025-03-27 00:00:00,50 000 ₽/мес.,50000,5 000 ₽,-5000,False
313202144,3 фев 2025,2025-02-03 00:00:00,55 000 ₽/мес.,55000,,,False
313007740,13 мар 2025,2025-03-13 00:00:00,70 000 ₽/мес.,70000,2 000 ₽,-2000,False
313007740,10 мар 2025,2025-03-10 00:00:00,72 000 ₽/мес.,72000,3 000 ₽,-3000,False
313007740,12 фев 2025,2025-02-12 00:00:00,75 000 ₽/мес.,75000,5 000 ₽,-5000,False
313007740,3 фев 2025,2025-02-03 00:00:00,80 000 ₽/мес.,80000,,,False
312803227,9 фев 2025,2025-02-09 00:00:00,82 000 ₽/мес.,82000,3 000 ₽,-3000,False
312803227,30 янв 2025,2025-01-30 00:00:00,85 000 ₽/мес.,85000,5 000 ₽,-5000,False
312803227,25 янв 2025,2025-01-25 00:00:00,90 000 ₽/мес.,90000,,,False
312685160,27 фев 2025,2025-02-27 00:00:00,75 000 ₽/мес.,75000,5 000 ₽,-5000,False
312685160,13 фев 2025,2025-02-13 00:00:00,80 000 ₽/мес.,80000,5 000 ₽,-5000,False
312685160,22 янв 2025,2025-01-22 00:00:00,85 000 ₽/мес.,85000,,,False
312677059,31 мар 2025,2025-03-31 00:00:00,80 000 ₽/мес.,80000,5 000 ₽,-5000,False
312677059,24 фев 2025,2025-02-24 00:00:00,85 000 ₽/мес.,85000,5 000 ₽,-5000,False
312677059,4 фев 2025,2025-02-04 00:00:00,90 000 ₽/мес.,90000,10 000 ₽,-10000,False
312677059,2 фев 2025,2025-02-02 00:00:00,100 000 ₽/мес.,100000,10 000 ₽,+10000,True
312677059,27 янв 2025,2025-01-27 00:00:00,90 000 ₽/мес.,90000,10 000 ₽,-10000,False
312677059,22 янв 2025,2025-01-22 00:00:00,100 000 ₽/мес.,100000,,,False
312673761,8 апр 2025,2025-04-08 00:00:00,81 000 ₽/мес.,81000,4 000 ₽,-4000,False
312673761,12 мар 2025,2025-03-12 00:00:00,85 000 ₽/мес.,85000,5 000 ₽,-5000,False
312673761,17 фев 2025,2025-02-17 00:00:00,90 000 ₽/мес.,90000,10 000 ₽,-10000,False
312673761,1 фев 2025,2025-02-01 00:00:00,100 000 ₽/мес.,100000,5 000 ₽,-5000,False
312673761,22 янв 2025,2025-01-22 00:00:00,105 000 ₽/мес.,105000,,,False
312625442,13 мар 2025,2025-03-13 00:00:00,100 000 ₽/мес.,100000,10 000 ₽,-10000,False
312625442,31 янв 2025,2025-01-31 00:00:00,110 000 ₽/мес.,110000,5 000 ₽,-5000,False
312625442,29 янв 2025,2025-01-29 00:00:00,115 000 ₽/мес.,115000,5 000 ₽,-5000,False
312625442,21 янв 2025,2025-01-21 00:00:00,120 000 ₽/мес.,120000,,,False
312488327,1 апр 2025,2025-04-01 00:00:00,70 000 ₽/мес.,70000,10 000 ₽,-10000,False
312488327,21 мар 2025,2025-03-21 00:00:00,80 000 ₽/мес.,80000,5 000 ₽,+5000,True
312488327,11 мар 2025,2025-03-11 00:00:00,75 000 ₽/мес.,75000,5 000 ₽,+5000,True
312488327,31 янв 2025,2025-01-31 00:00:00,70 000 ₽/мес.,70000,10 000 ₽,-10000,False
312488327,17 янв 2025,2025-01-17 00:00:00,80 000 ₽/мес.,80000,,,False
312246667,3 апр 2025,2025-04-03 00:00:00,85 000 ₽/мес.,85000,5 000 ₽,-5000,False
312246667,3 мар 2025,2025-03-03 00:00:00,90 000 ₽/мес.,90000,5 000 ₽,-5000,False
312246667,13 янв 2025,2025-01-13 00:00:00,95 000 ₽/мес.,95000,,,False
311914396,4 апр 2025,2025-04-04 00:00:00,80 000 ₽/мес.,80000,5 000 ₽,-5000,False
311914396,4 апр 2025,2025-04-04 00:00:00,85 000 ₽/мес.,85000,5 000 ₽,-5000,False
311914396,9 янв 2025,2025-01-09 00:00:00,90 000 ₽/мес.,90000,10 000 ₽,-10000,False
311914396,2 янв 2025,2025-01-02 00:00:00,100 000 ₽/мес.,100000,,,False
311802061,29 дек 2024,2024-12-29 00:00:00,80 000 ₽/мес.,80000,5 000 ₽,-5000,False
311802061,28 дек 2024,2024-12-28 00:00:00,85 000 ₽/мес.,85000,,,False
311665244,10 мар 2025,2025-03-10 00:00:00,90 000 ₽/мес.,90000,5 000 ₽,-5000,False
311665244,6 фев 2025,2025-02-06 00:00:00,95 000 ₽/мес.,95000,5 000 ₽,-5000,False
311665244,24 дек 2024,2024-12-24 00:00:00,100 000 ₽/мес.,100000,,,False
311659644,27 мар 2025,2025-03-27 00:00:00,85 000 ₽/мес.,85000,5 000 ₽,-5000,False
311659644,24 мар 2025,2025-03-24 00:00:00,90 000 ₽/мес.,90000,5 000 ₽,-5000,False
311659644,5 фев 2025,2025-02-05 00:00:00,95 000 ₽/мес.,95000,5 000 ₽,-5000,False
311659644,24 дек 2024,2024-12-24 00:00:00,100 000 ₽/мес.,100000,,,False
311528816,9 апр 2025,2025-04-09 00:00:00,70 000 ₽/мес.,70000,2 000 ₽,-2000,False
311528816,9 янв 2025,2025-01-09 00:00:00,72 000 ₽/мес.,72000,3 000 ₽,-3000,False
311528816,1 янв 2025,2025-01-01 00:00:00,75 000 ₽/мес.,75000,3 000 ₽,-3000,False
311528816,24 дек 2024,2024-12-24 00:00:00,78 000 ₽/мес.,78000,2 000 ₽,-2000,False
311528816,20 дек 2024,2024-12-20 00:00:00,80 000 ₽/мес.,80000,,,False
310792342,10 мар 2025,2025-03-10 00:00:00,99 000 ₽/мес.,99000,1 000 ₽,-1000,False
310792342,13 янв 2025,2025-01-13 00:00:00,100 000 ₽/мес.,100000,10 000 ₽,-10000,False
310792342,5 дек 2024,2024-12-05 00:00:00,110 000 ₽/мес.,110000,10 000 ₽,-10000,False
310792342,3 дек 2024,2024-12-03 00:00:00,120 000 ₽/мес.,120000,,,False
310660324,1 апр 2025,2025-04-01 00:00:00,90 000 ₽/мес.,90000,5 000 ₽,-5000,False
310660324,12 мар 2025,2025-03-12 00:00:00,95 000 ₽/мес.,95000,5 000 ₽,+5000,True
310660324,14 дек 2024,2024-12-14 00:00:00,90 000 ₽/мес.,90000,5 000 ₽,+5000,True
310660324,12 дек 2024,2024-12-12 00:00:00,85 000 ₽/мес.,85000,5 000 ₽,-5000,False
310660324,9 дек 2024,2024-12-09 00:00:00,90 000 ₽/мес.,90000,5 000 ₽,-5000,False
310660324,6 дек 2024,2024-12-06 00:00:00,95 000 ₽/мес.,95000,10 000 ₽,-10000,False
310660324,3 дек 2024,2024-12-03 00:00:00,105 000 ₽/мес.,105000,15 000 ₽,-15000,False
310660324,30 ноя 2024,2024-11-30 00:00:00,120 000 ₽/мес.,120000,,,False
310597962,14 фев 2025,2025-02-14 00:00:00,90 000 ₽/мес.,90000,5 000 ₽,-5000,False
310597962,12 дек 2024,2024-12-12 00:00:00,95 000 ₽/мес.,95000,10 000 ₽,-10000,False
310597962,29 ноя 2024,2024-11-29 00:00:00,105 000 ₽/мес.,105000,,,False
310193855,16 дек 2024,2024-12-16 00:00:00,90 000 ₽/мес.,90000,5 000 ₽,-5000,False
310193855,26 ноя 2024,2024-11-26 00:00:00,95 000 ₽/мес.,95000,5 000 ₽,-5000,False
310193855,20 ноя 2024,2024-11-20 00:00:00,100 000 ₽/мес.,100000,,,False
310168993,7 апр 2025,2025-04-07 00:00:00,90 000 ₽/мес.,90000,5 000 ₽,+5000,True
310168993,26 ноя 2024,2024-11-26 00:00:00,85 000 ₽/мес.,85000,5 000 ₽,-5000,False
310168993,19 ноя 2024,2024-11-19 00:00:00,90 000 ₽/мес.,90000,,,False
310070287,21 фев 2025,2025-02-21 00:00:00,95 000 ₽/мес.,95000,10 000 ₽,+10000,True
310070287,17 фев 2025,2025-02-17 00:00:00,85 000 ₽/мес.,85000,3 000 ₽,-3000,False
310070287,12 фев 2025,2025-02-12 00:00:00,88 000 ₽/мес.,88000,2 000 ₽,-2000,False
