offer_id,has_refrigerator,has_dishwasher,has_washing_machine,has_air_conditioner,has_tv,has_internet,has_kitchen_furniture,has_room_furniture,has_bathtub,has_shower_cabin
314717237,True,False,True,True,True,True,True,True,False,True
313708987,True,False,True,False,True,True,True,True,True,False
314019589,True,False,True,True,False,False,True,True,True,False
315523211,True,False,True,True,True,True,True,True,True,False
315227868,True,False,True,True,True,True,True,True,True,False
261664001,True,False,True,False,False,True,True,True,False,True
287756063,True,False,True,False,False,True,True,True,True,False
201291279,True,True,True,False,True,True,True,True,False,True
312592732,True,False,True,False,False,False,True,True,True,False
198394022,True,False,True,True,True,True,True,True,True,False
315375920,True,False,True,False,False,True,True,True,True,False
314690850,True,False,True,False,False,True,True,True,False,True
315468710,True,False,True,False,True,True,True,True,True,False
315566038,True,False,True,False,True,False,True,True,False,True
315688974,True,False,True,True,True,True,True,True,False,True
182246958,True,False,True,False,True,True,True,True,True,False
316085766,True,False,True,True,True,True,True,True,False,True
316077720,True,False,True,False,False,True,True,True,False,True
316063232,False,False,True,False,True,True,True,True,True,False
316063035,True,False,True,False,True,False,True,True,True,False
316061559,True,False,True,False,False,False,True,True,True,False
316060615,False,False,True,False,False,True,False,True,False,True
316047855,True,False,True,True,True,False,True,True,True,False
316039075,False,False,False,False,False,False,False,False,True,False
316031652,True,False,True,False,True,True,True,True,False,False
316029933,True,False,True,False,False,True,True,True,True,False
316029241,True,True,True,True,True,True,True,True,True,False
316029136,True,True,True,True,True,True,True,True,False,False
316027445,False,False,False,False,False,False,True,True,False,False
316020511,True,False,True,False,True,True,True,True,True,False
316018561,True,False,True,True,True,True,True,True,True,False
316016115,True,False,True,False,True,True,True,True,False,True
316015907,True,False,True,False,True,True,True,True,True,False
316015200,True,False,True,True,False,True,True,True,True,False
316009307,False,False,False,False,False,False,False,True,False,False
316006051,True,True,True,True,True,True,True,True,True,False
316003714,True,False,True,True,True,True,True,True,True,False
315998815,True,True,True,True,True,True,True,True,True,False
315988478,True,False,True,False,True,True,True,True,False,False
315986368,True,False,True,True,True,True,True,True,True,False
315985003,True,False,True,True,False,True,True,True,False,True
315984105,True,False,True,True,True,True,True,True,True,True
315982292,True,False,True,True,True,True,True,True,True,False
315979992,True,True,True,True,True,True,True,True,True,False
315977648,True,False,True,False,True,True,True,True,True,False
315963981,True,False,True,False,False,False,True,True,True,False
315960228,True,True,True,True,True,True,True,True,False,True
315940995,True,False,True,False,True,False,True,True,True,False
315938837,True,True,True,True,True,True,True,True,True,False
315937890,True,False,True,True,True,True,True,True,True,False
315934380,True,True,True,True,True,False,True,True,True,False
315933413,True,False,True,False,True,True,True,True,True,False
315930241,False,False,True,False,False,True,True,True,True,False
315916928,True,False,True,True,True,True,True,True,False,True
315915558,True,False,True,False,True,True,True,True,False,True
315913661,True,True,True,True,True,True,True,True,True,False
315911384,True,True,True,True,True,True,True,True,True,False
315910730,True,False,True,False,True,True,True,True,True,False
315910228,True,False,True,False,True,True,True,True,False,True
315907723,False,False,True,True,False,True,False,True,False,True
315905856,True,False,True,False,True,True,True,True,False,True
315905314,False,False,False,False,False,False,False,True,False,False
315904837,True,False,True,False,True,True,True,True,True,False
315904699,False,False,True,False,False,True,False,True,False,True
315904568,True,False,True,True,False,True,True,True,False,True
315900473,True,False,True,True,True,True,True,True,False,True
315900371,True,False,True,True,True,True,True,True,True,False
315898658,True,False,True,True,True,True,True,True,False,True
315897929,True,True,True,True,True,True,True,True,True,False
315890062,True,False,True,False,True,True,True,True,False,True
315881468,True,False,True,True,True,True,True,True,True,False
315880197,True,False,True,False,False,True,False,False,True,False
315867597,False,False,False,False,False,False,False,True,False,False
315858476,True,True,True,False,False,False,True,True,True,False
315855902,True,True,True,True,True,False,True,True,False,False
315855718,True,False,True,False,True,True,True,True,True,False
315855629,True,True,True,True,False,True,True,True,True,False
315850008,True,False,True,True,True,True,True,True,True,False
315833677,True,False,True,True,True,True,True,True,False,True
315827935,True,False,True,True,True,True,True,True,True,False
315821066,True,True,True,True,False,True,True,True,True,False
315820540,True,True,True,True,True,True,True,True,True,False
315816443,True,True,True,False,True,True,True,True,True,False
315816180,True,True,True,False,False,True,False,True,True,False
315812551,True,False,True,False,False,True,True,True,False,True
316085766,True,False,True,True,True,True,True,True,False,True
316077720,True,False,True,False,False,True,True,True,False,True
316063232,False,False,True,False,True,True,True,True,True,False
316063035,True,False,True,False,True,False,True,True,True,False
316061559,True,False,True,False,False,False,True,True,True,False
316060615,False,False,True,False,False,True,False,True,False,True
316047855,True,False,True,True,True,False,True,True,True,False
316039075,False,False,False,False,False,False,False,False,True,False
316036297,True,False,True,True,True,True,True,True,True,False
316031652,True,False,True,False,True,True,True,True,False,False
316029933,True,False,True,False,False,True,True,True,True,False
316029241,True,True,True,True,True,True,True,True,True,False
316029136,True,True,True,True,True,True,True,True,False,False
316027445,False,False,False,False,False,False,True,True,False,False
316020511,True,False,True,False,True,True,True,True,True,False
316018561,True,False,True,True,True,True,True,True,True,False
316016115,True,False,True,False,True,True,True,True,False,True
316015907,True,False,True,False,True,True,True,True,True,False
316015200,True,False,True,True,False,True,True,True,True,False
316009307,False,False,False,False,False,False,False,True,False,False
316006051,True,True,True,True,True,True,True,True,True,False
316003714,True,False,True,True,True,True,True,True,True,False
315998815,True,True,True,True,True,True,True,True,True,False
315988478,True,False,True,False,True,True,True,True,False,False
315986835,True,True,True,True,True,True,True,True,True,False
315986368,True,False,True,True,True,True,True,True,True,False
315985003,True,False,True,True,False,True,True,True,False,True
315984105,True,False,True,True,True,True,True,True,True,True
315979992,True,True,True,True,True,True,True,True,True,False
315977648,True,False,True,False,True,True,True,True,True,False
315963981,True,False,True,False,False,False,True,True,True,False
315962374,True,True,True,True,True,True,True,True,True,False
315960228,True,True,True,True,True,True,True,True,False,True
315957488,True,False,True,True,True,True,True,True,True,False
315943273,True,False,True,True,True,True,True,True,True,False
315940995,True,False,True,False,True,False,True,True,True,False
315938837,True,True,True,True,True,True,True,True,True,False
315934380,True,True,True,True,True,False,True,True,True,False
315933413,True,False,True,False,True,True,True,True,True,False
315929747,True,True,True,True,True,True,True,True,True,False
315916928,True,False,True,True,True,True,True,True,False,True
315915558,True,False,True,False,True,True,True,True,False,True
315913661,True,True,True,True,True,True,True,True,True,False
315911384,True,True,True,True,True,True,True,True,True,False
315910730,True,False,True,False,True,True,True,True,True,False
315910228,True,False,True,False,True,True,True,True,False,True
